施設・場所名,住所,緯度,経度
京都市立上賀茂小学校,京都府京都市北区上賀茂烏帽子ヶ垣内町1,35.05671792,135.7576444
京都市立大宮小学校,京都府京都市北区大宮中ノ社町37,35.05904166,135.7462922
京都市立紫竹小学校,京都府京都市北区紫竹下園生町26,35.05317639,135.7505997
京都市立元町小学校,京都府京都市北区小山西元町14,35.05033593,135.7541563
京都市立鳳徳小学校,京都府京都市北区紫野上鳥田町30,35.04517623,135.7522981
京都市立紫明小学校,京都府京都市北区小山東大野町55,35.04305168,135.7569455
京都市立紫野小学校,京都府京都市北区紫野下築山町21,35.03990958,135.7457044
京都市立大将軍小学校,京都府京都市北区大将軍南一条町48-2,35.02443061,135.7284799
京都市立衣笠小学校,京都府京都市北区平野宮本町19-6,35.03018619,135.7320032
京都市立金閣小学校,京都府京都市北区平野上柳町61-1,35.03662166,135.7283181
京都市立待鳳小学校,京都府京都市北区紫竹西北町1-3,35.04901642,135.7465148
京都市立柊野小学校,京都府京都市北区上賀茂女夫岩町21,35.06952295,135.7453445
京都市立加茂川中学校,京都府京都市北区紫竹上長目町5,35.05476036,135.7520072
京都市立旭丘中学校,京都府京都市北区紫野東蓮台野町1,35.04681588,135.7403043
京都市立衣笠中学校,京都府京都市北区衣笠衣笠山町2,35.03675104,135.7269209
京都市立西賀茂中学校,京都府京都市北区西賀茂円峰2-26,35.07067641,135.7398425
京都市立紫野高等学校,京都府京都市北区紫野大徳寺町22,35.04320295,135.7413378
京都府立盲学校小学部・中学部,京都府京都市北区紫野大徳寺町27,35.04417277,135.7388256
京都府立山城高等学校,京都府京都市北区大将軍坂田町29,35.0231198,135.7256797
京都府立医科大学花園学舎,京都府京都市北区大将軍西鷹司町13-2,35.02293672,135.7276881
立命館大学 京都衣笠体育館,京都府京都市北区等持院北町56-1,35.03258534,135.7243133
京都産業大学,京都府京都市北区上賀茂本山,35.06883804,135.7571825
大谷大学,京都府京都市北区小山上総町,35.04171572,135.7598479
京都教育大学附属京都小学校,京都府京都市北区紫野東御所田町37,35.04039687,135.754519
京都教育大学附属京都中学校,京都府京都市北区小山南大野町1,35.0397275,135.7552467
京都市交響楽団練習場,京都府京都市出雲路立テ本町103,35.03891363,135.7645238
元京都市立春日小学校,京都府京都市上京区丸太町通河原町西入高島町,35.01805243,135.7685347
元京都市立西陣小学校,京都府京都市上京区上立売堀川西入幸在町689,35.03242398,135.7498184
元京都市立聚楽小学校,京都府京都市上京区葭屋町通中立売下ル北俵町317,35.02441738,135.7510257
元京都市立待賢小学校,京都府京都市上京区猪熊通丸太町下ル藁屋町536-1,35.01716085,135.7499786
京都まなびの街生き方探究館,京都府京都市上京区西洞院通下立売下ル東裏辻町402,35.01959042,135.7545813
京都市立京極小学校,京都府京都市上京区寺町通石薬師下ル西側染殿町658,35.02765016,135.7673016
京都市立室町小学校,京都府京都市上京区室町通上立売上ル室町頭町261,35.03346523,135.7583868
京都市立新町小学校,京都府京都市上京区中立売通室町西入三丁町457,35.02526959,135.7560202
京都市立西陣中央小学校,京都府京都市上京区大宮通今出川上ル観世町135-1,35.0305486,135.7478752
京都市立翔鸞小学校,京都府京都市上京区御前通今出川上ル鳥居前町671,35.03192543,135.7382173
